pods,pods_ondemand,pods_spot,cpu_util,rps,p95,p99,cost_per_hr,offered_rps,served_rps,p95_client,slo_violation,shortfall_frac,t_s,policy,seed
9.0,9.0,0.0,0.18901373351847822,52.76575913909623,0.50219960565,0.18921286583076216,9.0,52.4,52.76575913909623,0.50219960565,1,0.0,0.0,rl_homogeneous,2
9.0,9.0,0.0,0.17520881387531625,49.885548083896666,0.3232220598,0.18697583238192783,9.0,50.5,49.885548083896666,0.3232220598,1,0.012167364675313552,60.0,rl_homogeneous,2
9.0,9.0,0.0,0.17590681287706825,51.914396865906994,0.1624314025,0.1924656328819368,9.0,50.5,51.914396865906994,0.1624314025,0,0.0,120.0,rl_homogeneous,2
9.0,9.0,0.0,0.1824601240912072,46.288768256280584,0.14753393025,0.1952023761099303,9.0,45.4,46.288768256280584,0.14753393025,0,0.0,180.0,rl_homogeneous,2
9.0,9.0,0.0,0.1928800995828797,56.100101579141615,0.21779246054999998,0.1955203488081862,9.0,55.4,56.100101579141615,0.21779246054999998,1,0.0,240.0,rl_homogeneous,2
9.0,9.0,0.0,0.18285080990008482,54.38645350890014,0.20895388409999827,0.19323345163763087,9.0,53.6,54.38645350890014,0.20895388409999827,1,0.0,300.0,rl_homogeneous,2
9.0,9.0,0.0,0.20422398605696268,50.62398907191629,0.1339728322,0.19488165282170228,9.0,49.8,50.62398907191629,0.1339728322,0,0.0,360.0,rl_homogeneous,2
9.0,9.0,0.0,0.18237700850666108,52.49771459123442,0.250765141,0.1943566144679407,9.0,52.2,52.49771459123442,0.250765141,1,0.0,420.0,rl_homogeneous,2
9.0,9.0,0.0,0.17249970386252803,50.88897445896964,0.11841875219999999,0.1759733188376467,9.0,50.8,50.88897445896964,0.11841875219999999,0,0.0,480.0,rl_homogeneous,2
9.0,9.0,0.0,0.18495786049755075,51.304832984373725,0.1650879003999999,0.1910413613204403,9.0,48.6,51.304832984373725,0.1650879003999999,0,0.0,540.0,rl_homogeneous,2
9.0,9.0,0.0,0.1805252752649796,52.66126547013318,0.5178314303999993,0.193654646048742,9.0,52.1,52.66126547013318,0.5178314303999993,1,0.0,600.0,rl_homogeneous,2
9.0,9.0,0.0,0.16490312154462372,48.68031066668104,0.2431885855,0.19516344128974883,9.0,48.7,48.68031066668104,0.2431885855,1,0.0004042984254407585,660.0,rl_homogeneous,2
9.0,9.0,0.0,0.17907545401720076,49.23843539175026,0.14413083899999998,0.1904162874058571,9.0,48.5,49.23843539175026,0.14413083899999998,0,0.0,720.0,rl_homogeneous,2
9.0,9.0,0.0,0.1609511560801231,49.76538804368732,0.23034887639999999,0.19575988119818077,9.0,47.1,49.76538804368732,0.23034887639999999,1,0.0,780.0,rl_homogeneous,2
9.0,9.0,0.0,0.2025093319312917,52.24281122607836,0.21534609595000007,0.19254809299059564,9.0,49.9,52.24281122607836,0.21534609595000007,1,0.0,840.0,rl_homogeneous,2
9.0,9.0,0.0,0.19206714918007656,49.13398503463974,0.15540813269999995,0.1946374725195052,9.0,48.4,49.13398503463974,0.15540813269999995,0,0.0,900.0,rl_homogeneous,2
9.0,9.0,0.0,0.16717287524139599,50.30327065661989,0.264293942,0.18860298128051886,9.0,49.7,50.30327065661989,0.264293942,1,0.0,960.0,rl_homogeneous,2
9.0,9.0,0.0,0.18529316176301372,45.88344578623958,0.12913270100000002,0.19330757548784033,9.0,46.7,45.88344578623958,0.12913270100000002,0,0.017485100937054094,1020.0,rl_homogeneous,2
9.0,9.0,0.0,0.18239691878916936,48.68494390650269,0.22489605375,0.19452700346363636,9.0,48.3,48.68494390650269,0.22489605375,1,0.0,1080.0,rl_homogeneous,2
9.0,9.0,0.0,0.1758639898928212,46.33195242849998,0.13116604029999995,0.19392845567408043,9.0,45.6,46.33195242849998,0.13116604029999995,0,0.0,1140.0,rl_homogeneous,2
9.0,9.0,0.0,0.19025583904639737,51.53219255871367,0.20428383060000002,0.19506276212938148,9.0,49.6,51.53219255871367,0.20428383060000002,1,0.0,1200.0,rl_homogeneous,2
9.0,9.0,0.0,0.17720202926834755,48.9461129366362,0.18549780149999992,0.19488944526257324,9.0,47.8,48.9461129366362,0.18549780149999992,0,0.0,1260.0,rl_homogeneous,2
9.0,9.0,0.0,0.17889131459558677,47.60316502747049,0.14374886280000004,0.19283207253676304,9.0,47.9,47.60316502747049,0.14374886280000004,0,0.006196972286628599,1320.0,rl_homogeneous,2
9.0,9.0,0.0,0.19311912386300206,48.17359767113902,0.156592141,0.19519508930360335,9.0,47.9,48.17359767113902,0.156592141,0,0.0,1380.0,rl_homogeneous,2
10.0,10.0,0.0,0.151221879420462,46.037001726108585,0.16143769045,0.18953184334894982,10.0,44.3,46.037001726108585,0.16143769045,0,0.0,1440.0,rl_homogeneous,2
10.0,10.0,0.0,0.161630365724954,50.18603074189525,0.1231978718,0.19417967316013454,10.0,48.4,50.18603074189525,0.1231978718,0,0.0,1500.0,rl_homogeneous,2
10.0,10.0,0.0,0.17774155814724651,53.38315910941323,0.13579855659999998,0.1933212669787125,10.0,51.2,53.38315910941323,0.13579855659999998,0,0.0,1560.0,rl_homogeneous,2
10.0,10.0,0.0,0.1535170787098171,43.69176275072398,0.11483691894999998,0.18464128794820592,10.0,42.2,43.69176275072398,0.11483691894999998,0,0.0,1620.0,rl_homogeneous,2
10.0,10.0,0.0,0.13472565629630381,42.698555398121435,0.16034434579999998,0.19583499131676047,10.0,41.7,42.698555398121435,0.16034434579999998,0,0.0,1680.0,rl_homogeneous,2
11.0,11.0,0.0,0.13916909401970082,43.556104854598296,0.25459205149999997,0.19591925884774536,11.0,42.1,43.556104854598296,0.25459205149999997,1,0.0,1740.0,rl_homogeneous,2
12.0,12.0,0.0,0.12467737593672837,48.62920318802281,0.14312458800000002,0.19562536120646998,12.0,47.5,48.62920318802281,0.14312458800000002,0,0.0,1800.0,rl_homogeneous,2
12.0,12.0,0.0,0.14346959886566063,47.65067744347554,0.11843916990000002,0.1919839198713283,12.0,45.6,47.65067744347554,0.11843916990000002,0,0.0,1860.0,rl_homogeneous,2
12.0,12.0,0.0,0.14170715033607217,48.21739001295526,0.1159119817,0.19524493797668974,12.0,47.7,48.21739001295526,0.1159119817,0,0.0,1920.0,rl_homogeneous,2
12.0,12.0,0.0,0.12612783914309572,47.67555205089975,0.1202110134,0.19455543847783469,12.0,46.6,47.67555205089975,0.1202110134,0,0.0,1980.0,rl_homogeneous,2
11.0,11.0,0.0,0.158507563456841,47.061429657272626,0.11414048084999996,0.19487722633251975,11.0,45.2,47.061429657272626,0.11414048084999996,0,0.0,2040.0,rl_homogeneous,2
12.0,12.0,0.0,0.12642175152609872,48.24431165145,0.13739540189999996,0.19494839992288093,12.0,45.2,48.24431165145,0.13739540189999996,0,0.0,2100.0,rl_homogeneous,2
11.0,11.0,0.0,0.13324152256401062,44.909976197472055,0.126985428,0.19337851055087218,11.0,43.9,44.909976197472055,0.126985428,0,0.0,2160.0,rl_homogeneous,2
10.0,10.0,0.0,0.15940592749819674,47.630519841949614,0.3486559837,0.19372210473362605,10.0,46.2,47.630519841949614,0.3486559837,1,0.0,2220.0,rl_homogeneous,2
12.0,12.0,0.0,0.12250851225762777,41.80103018318998,0.1251147045,0.19537116016958886,12.0,41.2,41.80103018318998,0.1251147045,0,0.0,2280.0,rl_homogeneous,2
11.0,11.0,0.0,0.14012013049872452,42.50682978241544,0.1174530893,0.19634571778728677,11.0,42.7,42.50682978241544,0.1174530893,0,0.004523892683479291,2340.0,rl_homogeneous,2
10.0,10.0,0.0,0.13502948966450978,46.51622757761105,0.15598833499999964,0.19718076382444827,10.0,44.1,46.51622757761105,0.15598833499999964,0,0.0,2400.0,rl_homogeneous,2
10.0,10.0,0.0,0.14839180083176912,48.17672923865358,0.2037037786,0.19644187602783725,10.0,47.7,48.17672923865358,0.2037037786,1,0.0,2460.0,rl_homogeneous,2
9.0,9.0,0.0,0.1279470293373837,42.253860146246026,0.13768141040000004,0.1930433248336354,9.0,41.4,42.253860146246026,0.13768141040000004,0,0.0,2520.0,rl_homogeneous,2
9.0,9.0,0.0,0.14923452736885268,41.30179561976407,0.18301622755,0.18367217563638566,9.0,40.4,41.30179561976407,0.18301622755,0,0.0,2580.0,rl_homogeneous,2
9.0,9.0,0.0,0.16614506640550872,42.80287912106498,0.32327511714999996,0.19534932548035666,9.0,41.5,42.80287912106498,0.32327511714999996,1,0.0,2640.0,rl_homogeneous,2
9.0,9.0,0.0,0.17339845031605894,46.28654545073094,0.16583867570000002,0.19607642749841303,9.0,45.0,46.28654545073094,0.16583867570000002,0,0.0,2700.0,rl_homogeneous,2
9.0,9.0,0.0,0.16148717221803344,43.95373532687971,0.31145989230000004,0.19508419721427528,9.0,41.9,43.95373532687971,0.31145989230000004,1,0.0,2760.0,rl_homogeneous,2
9.0,9.0,0.0,0.1841626768954559,45.42070548684962,0.14824959639999993,0.19691143611060524,9.0,45.5,45.42070548684962,0.14824959639999993,0,0.0017427365527556032,2820.0,rl_homogeneous,2
9.0,9.0,0.0,0.16174378920596666,36.528317943399884,0.15171133540000004,0.19473076153865698,9.0,37.6,36.528317943399884,0.15171133540000004,0,0.028502182356386102,2880.0,rl_homogeneous,2
9.0,9.0,0.0,0.17736003909851236,45.588191539261175,0.11915247979999999,0.19100113737839008,9.0,44.6,45.588191539261175,0.11915247979999999,0,0.0,2940.0,rl_homogeneous,2
9.0,9.0,0.0,0.16655150635561095,45.36450564439773,0.14102613545,0.19474771631838658,9.0,44.2,45.36450564439773,0.14102613545,0,0.0,3000.0,rl_homogeneous,2
8.0,8.0,0.0,0.1724481776918948,39.1693965359016,0.12185273375,0.19371470654500902,8.0,38.2,39.1693965359016,0.12185273375,0,0.0,3060.0,rl_homogeneous,2
8.0,8.0,0.0,0.13627336159806994,43.181776888376284,0.2033018707,0.19518681142884944,8.0,41.8,43.181776888376284,0.2033018707,1,0.0,3120.0,rl_homogeneous,2
7.0,7.0,0.0,0.167145149350909,44.91230798627048,0.14743777020000004,0.19433440215870887,7.0,44.1,44.91230798627048,0.14743777020000004,0,0.0,3180.0,rl_homogeneous,2
7.0,7.0,0.0,0.20503980344253653,42.59187509172855,0.13545933980000002,0.1924507219347123,7.0,41.3,42.59187509172855,0.13545933980000002,0,0.0,3240.0,rl_homogeneous,2
7.0,7.0,0.0,0.2015798879062136,43.57938491406978,0.14833307559999998,0.19415534337561985,7.0,43.3,43.57938491406978,0.14833307559999998,0,0.0,3300.0,rl_homogeneous,2
7.0,7.0,0.0,0.20005399986270173,47.64730282257654,0.5125532109,0.19337841803609077,7.0,46.4,47.64730282257654,0.5125532109,1,0.0,3360.0,rl_homogeneous,2
7.0,7.0,0.0,0.202380699879914,42.94793679985199,0.30703317900000004,0.1921169806036615,7.0,41.2,42.94793679985199,0.30703317900000004,1,0.0,3420.0,rl_homogeneous,2
7.0,7.0,0.0,0.2429235245364075,25.33046711131489,3.2021451792499995,0.18193526838800186,7.0,203.3,25.33046711131489,3.2021451792499995,1,0.8754035065847768,3480.0,rl_homogeneous,2
8.0,8.0,0.0,0.2807546012359956,45.10200408461576,2.990946895199999,0.18697447117995997,8.0,201.9,45.10200408461576,2.990946895199999,1,0.7766121640187432,3540.0,rl_homogeneous,2
